,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.015964221954345704,0.0010929850087904802,0.0027901649475097655,0.001164790784157811,1,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.9819494584837545,0.9638989169675091,0.9747292418772563,0.9783393501805054,0.9819494584837545,0.976173285198556,0.0066957534263506644,4
23,0.05424685478210449,0.004737263747740442,0.013165616989135742,0.0017146921966119748,1,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4259927797833935,0.44765342960288806,0.3935018050541516,0.4332129963898917,0.4296028880866426,0.4259927797833935,0.01783261954545627,45
24,0.09574432373046875,0.0070238949715037335,0.05983986854553223,0.005916150868105733,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.9783393501805054,0.9602888086642599,0.9747292418772563,0.9783393501805054,0.9747292418772563,0.9732851985559566,0.006695753426350697,10
25,0.017153358459472655,0.0003976348636102723,0.005187797546386719,0.0017186673609675342,1,10,linear,"{'C': 1, 'gamma': 10, 'kernel': 'linear'}",0.8592057761732852,0.8411552346570397,0.851985559566787,0.8303249097472925,0.8736462093862816,0.8512635379061372,0.014867335943663528,23
26,0.8483342170715332,0.7446045885613517,0.0029917240142822267,0.0012600855779260616,1,10,poly,"{'C': 1, 'gamma': 10, 'kernel': 'poly'}",0.9819494584837545,0.9314079422382672,0.9747292418772563,0.9602888086642599,0.9675090252707581,0.9631768953068592,0.017448441839125715,13
27,0.049672842025756836,0.004565142304182555,0.011961793899536133,0.0006308536789016177,1,10,sigmoid,"{'C': 1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4368231046931408,0.47653429602888087,0.4187725631768953,0.4404332129963899,0.48375451263537905,0.4512635379061372,0.02480225853764284,43
28,0.0225400447845459,0.0016223657361911733,0.015159320831298829,0.0009765132946604399,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9927797833935018,0.9602888086642599,0.9747292418772563,0.9783393501805054,0.9747292418772563,0.976173285198556,0.010362960356972806,4
29,0.01914815902709961,0.001595491619066383,0.0033913135528564455,0.0007980825867270496,1,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8592057761732852,0.8411552346570397,0.851985559566787,0.8303249097472925,0.8736462093862816,0.8512635379061372,0.014867335943663528,23
30,0.019745779037475587,0.0007435376928479028,0.0029924869537353515,0.0008915963816874154,1,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.9819494584837545,0.9602888086642599,0.9783393501805054,0.9783393501805054,0.9783393501805054,0.9754512635379061,0.007709081770419722,7
31,0.056249237060546874,0.0011978690551269987,0.013762712478637695,0.0007489679437579916,1,scale,sigmoid,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4223826714801444,0.4584837545126354,0.36462093862815886,0.44404332129963897,0.4296028880866426,0.423826714801444,0.03209546681717381,46
32,0.02353644371032715,0.0013533168050475952,0.00877680778503418,0.0017158340073863776,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9855595667870036,0.9530685920577617,0.9747292418772563,0.9711191335740073,0.9747292418772563,0.971841155234657,0.010562266309261947,11
33,0.0851736068725586,0.008190253508237379,0.00419001579284668,0.0007467456458429816,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.8592057761732852,0.8483754512635379,0.851985559566787,0.8339350180505415,0.8664259927797834,0.851985559566787,0.010950000641229685,19
34,0.020147228240966798,0.001465019895969893,0.0037890911102294923,0.000748115994874522,100,0.1,poly,"{'C': 100, 'gamma': 0.1, 'kernel': 'poly'}",0.9675090252707581,0.9458483754512635,0.9494584837545126,0.9711191335740073,0.9675090252707581,0.9602888086642599,0.010463087903385886,14
35,0.03410801887512207,0.001935228180527169,0.005585098266601562,0.0004880522446127588,100,0.1,sigmoid,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.7653429602888087,0.7617328519855595,0.7833935018050542,0.7581227436823105,0.779783393501805,0.7696750902527076,0.010056598034067969,29
36,0.018949031829833984,0.0014099641866814503,0.006980800628662109,0.0015456646628397327,100,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.9927797833935018,0.9747292418772563,0.9927797833935018,0.9891696750902527,0.9891696750902527,0.9877256317689531,0.006695753426350697,1
37,0.07001276016235351,0.005655449633374932,0.0035895347595214845,0.0007981188137803027,100,1,linear,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.8592057761732852,0.8483754512635379,0.851985559566787,0.8339350180505415,0.8664259927797834,0.851985559566787,0.010950000641229685,19
38,0.14600939750671388,0.08247596023998811,0.001994800567626953,9.344061823971474e-07,100,1,poly,"{'C': 100, 'gamma': 1, 'kernel': 'poly'}",0.9855595667870036,0.9566787003610109,0.9783393501805054,0.9783393501805054,0.9783393501805054,0.9754512635379061,0.009793978314982325,7
39,0.04966626167297363,0.0027784268816819866,0.011769723892211915,0.001464384422644742,100,1,sigmoid,"{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}",0.3971119133574007,0.4332129963898917,0.36823104693140796,0.4151624548736462,0.4151624548736462,0.40577617328519866,0.021971298273939264,48
40,0.07958431243896484,0.0026303579563575165,0.053658056259155276,0.0034196096737764085,100,10,rbf,"{'C': 100, 'gamma': 10, 'kernel': 'rbf'}",0.9855595667870036,0.9602888086642599,0.9783393501805054,0.9747292418772563,0.9819494584837545,0.976173285198556,0.008724220919562872,4
41,0.06144304275512695,0.0031333094748858493,0.0033903121948242188,0.0007974510926533363,100,10,linear,"{'C': 100, 'gamma': 10, 'kernel': 'linear'}",0.8592057761732852,0.8483754512635379,0.851985559566787,0.8339350180505415,0.8664259927797834,0.851985559566787,0.010950000641229685,19
42,45.9145947933197,42.975302211798905,0.0021938323974609376,0.0009768153399742968,100,10,poly,"{'C': 100, 'gamma': 10, 'kernel': 'poly'}",0.9819494584837545,0.9314079422382672,0.9711191335740073,0.9422382671480144,0.9675090252707581,0.9588447653429604,0.01891090375986829,15
43,0.051662015914916995,0.001323175183708286,0.012366962432861329,0.0004888502685332912,100,10,sigmoid,"{'C': 100, 'gamma': 10, 'kernel': 'sigmoid'}",0.4296028880866426,0.4693140794223827,0.40794223826714804,0.4223826714801444,0.47653429602888087,0.44115523465703965,0.02695762411926999,44
44,0.020145511627197264,0.0027050791125715883,0.008779191970825195,0.0017204074834550522,100,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.9927797833935018,0.9711191335740073,0.9927797833935018,0.9891696750902527,0.9927797833935018,0.9877256317689531,0.00842014714057082,1
45,0.0696110725402832,0.0031763827785429824,0.003989362716674804,1.4032305688440477e-06,100,scale,linear,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.8592057761732852,0.8483754512635379,0.851985559566787,0.8339350180505415,0.8664259927797834,0.851985559566787,0.010950000641229685,19
46,0.12147431373596192,0.015697759562929355,0.001596832275390625,0.0004889282209573845,100,scale,poly,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.9783393501805054,0.9458483754512635,0.9747292418772563,0.9783393501805054,0.9783393501805054,0.9711191335740071,0.012712503149212285,12
47,0.0542543888092041,0.006263039562315251,0.012965583801269531,0.0018924042657741016,100,scale,sigmoid,"{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4187725631768953,0.44765342960288806,0.35018050541516244,0.4296028880866426,0.4151624548736462,0.4122743682310469,0.03303988790945141,47
